Time,Date,Id,P,Q,cos,f,P_peak,Q_peak
10:27:48 AM,01 Tháng Bảy 2020,1,23.032,7.196,0.762,50,23.594,7.196
10:27:50 AM,01 Tháng Bảy 2020,1,23.594,6.634,0.781,50,23.594,7.196
10:27:52 AM,01 Tháng Bảy 2020,1,32.582,1.588,0.954,50,32.582,7.196
10:27:54 AM,01 Tháng Bảy 2020,1,30.897,3.274,0.904,50,32.582,7.196
10:27:56 AM,01 Tháng Bảy 2020,1,26.965,5.235,0.837,50,32.582,7.196
10:27:58 AM,01 Tháng Bảy 2020,1,21.909,7.662,0.741,50,32.582,7.662
10:28:00 AM,01 Tháng Bảy 2020,1,17.977,10.28,0.636,50,32.582,10.28
10:28:02 AM,01 Tháng Bảy 2020,1,16.291,10.651,0.605,50,32.582,11.489
10:28:04 AM,01 Tháng Bảy 2020,1,19.662,9.252,0.68,50,32.582,11.489
10:28:06 AM,01 Tháng Bảy 2020,1,22.471,7.1,0.76,50,32.582,11.489
10:28:08 AM,01 Tháng Bảy 2020,1,24.718,6.167,0.8,50,32.582,11.489
10:28:10 AM,01 Tháng Bảy 2020,1,25.841,5.701,0.819,50,32.582,11.489
10:28:12 AM,01 Tháng Bảy 2020,1,27.527,4.673,0.855,50,32.582,11.489
10:28:14 AM,01 Tháng Bảy 2020,1,27.527,4.673,0.855,50,32.582,11.489
10:28:16 AM,01 Tháng Bảy 2020,1,25.841,5.044,0.837,50,32.582,11.489
10:28:18 AM,01 Tháng Bảy 2020,1,23.032,7.196,0.762,50,32.582,11.489
10:28:20 AM,01 Tháng Bảy 2020,1,17.977,9.623,0.651,50,32.582,11.489
10:28:22 AM,01 Tháng Bảy 2020,1,15.168,10.46,0.592,50,32.582,11.489
10:28:24 AM,01 Tháng Bảy 2020,1,20.224,8.69,0.699,50,32.582,11.489
10:28:27 AM,01 Tháng Bảy 2020,1,21.347,8.224,0.722,50,32.582,11.489
10:28:29 AM,01 Tháng Bảy 2020,1,23.032,7.196,0.762,50,32.582,11.489
10:28:31 AM,01 Tháng Bảy 2020,1,25.28,5.606,0.818,50,32.582,11.489
10:28:33 AM,01 Tháng Bảy 2020,1,26.965,4.578,0.855,50,32.582,11.489
10:28:35 AM,01 Tháng Bảy 2020,1,28.65,4.207,0.872,50,32.582,11.489
10:28:37 AM,01 Tháng Bảy 2020,1,33.144,1.027,0.97,50,33.144,11.489
10:28:39 AM,01 Tháng Bảy 2020,1,32.021,2.15,0.937,50,33.144,11.489
10:28:41 AM,01 Tháng Bảy 2020,1,30.335,3.178,0.905,50,33.144,11.489
10:28:43 AM,01 Tháng Bảy 2020,1,28.65,4.207,0.872,50,33.144,11.489
10:28:45 AM,01 Tháng Bảy 2020,1,25.28,5.606,0.818,50,33.144,11.489
10:28:47 AM,01 Tháng Bảy 2020,1,23.594,7.291,0.764,50,33.144,11.489
10:28:49 AM,01 Tháng Bảy 2020,1,22.471,7.757,0.743,50,33.144,11.489
10:28:51 AM,01 Tháng Bảy 2020,1,24.156,6.072,0.799,50,33.144,11.489
10:28:53 AM,01 Tháng Bảy 2020,1,26.403,5.139,0.837,50,33.144,11.489
10:28:55 AM,01 Tháng Bảy 2020,1,29.212,3.645,0.889,50,33.144,11.489
10:28:57 AM,01 Tháng Bảy 2020,1,32.582,1.588,0.954,50,33.144,11.489
10:28:59 AM,01 Tháng Bảy 2020,1,32.582,0.931,0.972,50,33.144,11.489
10:29:01 AM,01 Tháng Bảy 2020,1,30.897,2.617,0.922,50,33.144,11.489
10:29:03 AM,01 Tháng Bảy 2020,1,27.527,4.673,0.855,50,33.144,11.489
10:29:05 AM,01 Tháng Bảy 2020,1,25.28,6.263,0.801,50,33.144,11.489
10:29:07 AM,01 Tháng Bảy 2020,1,18.538,9.061,0.672,50,33.144,11.489
10:29:09 AM,01 Tháng Bảy 2020,1,17.415,10.185,0.631,50,33.144,11.489
10:29:11 AM,01 Tháng Bảy 2020,1,20.224,8.69,0.699,50,33.144,11.489
10:29:13 AM,01 Tháng Bảy 2020,1,25.28,6.263,0.801,50,33.144,11.489
10:29:15 AM,01 Tháng Bảy 2020,1,27.527,4.673,0.855,50,33.144,11.489
10:29:17 AM,01 Tháng Bảy 2020,1,30.335,2.521,0.923,50,33.144,11.489
10:29:19 AM,01 Tháng Bảy 2020,1,32.582,1.588,0.954,50,33.144,11.489
10:29:21 AM,01 Tháng Bảy 2020,1,30.335,2.521,0.923,50,33.144,11.489
10:29:23 AM,01 Tháng Bảy 2020,1,29.212,3.645,0.889,50,33.144,11.489
10:29:25 AM,01 Tháng Bảy 2020,1,27.527,4.673,0.855,50,33.144,11.489
10:29:27 AM,01 Tháng Bảy 2020,1,25.28,6.263,0.801,50,33.144,11.489
10:29:29 AM,01 Tháng Bảy 2020,1,21.347,8.224,0.722,50,33.144,11.489
10:29:31 AM,01 Tháng Bảy 2020,1,16.291,10.651,0.605,50,33.144,11.489
10:29:33 AM,01 Tháng Bảy 2020,1,19.662,8.595,0.696,50,33.144,11.489
10:29:35 AM,01 Tháng Bảy 2020,1,20.785,8.128,0.719,50,33.144,11.489
10:29:37 AM,01 Tháng Bảy 2020,1,24.156,6.072,0.799,50,33.144,11.489
10:29:40 AM,01 Tháng Bảy 2020,1,25.841,5.044,0.837,50,33.144,11.489
10:29:42 AM,01 Tháng Bảy 2020,1,29.774,3.083,0.906,50,33.144,11.489
10:29:44 AM,01 Tháng Bảy 2020,1,30.897,2.617,0.922,50,33.144,11.489
10:29:46 AM,01 Tháng Bảy 2020,1,32.021,1.493,0.955,50,33.144,11.489
10:29:48 AM,01 Tháng Bảy 2020,1,32.582,1.588,0.954,50,33.144,11.489
10:29:50 AM,01 Tháng Bảy 2020,1,31.459,2.055,0.939,50,33.144,11.489
10:29:52 AM,01 Tháng Bảy 2020,1,27.527,4.673,0.855,50,33.144,11.489
10:29:54 AM,01 Tháng Bảy 2020,1,24.718,5.51,0.818,50,33.144,11.489
10:29:56 AM,01 Tháng Bảy 2020,1,20.785,8.128,0.719,50,33.144,11.489
10:29:58 AM,01 Tháng Bảy 2020,1,18.538,9.718,0.656,50,33.144,11.489
10:30:00 AM,01 Tháng Bảy 2020,1,16.291,10.651,0.605,50,33.144,11.489
10:30:02 AM,01 Tháng Bảy 2020,1,21.347,8.224,0.722,50,33.144,11.489
10:30:04 AM,01 Tháng Bảy 2020,1,25.28,5.606,0.818,50,33.144,11.489
10:30:06 AM,01 Tháng Bảy 2020,1,26.965,5.235,0.837,50,33.144,11.489
10:30:08 AM,01 Tháng Bảy 2020,1,28.65,3.549,0.89,50,33.144,11.489
10:30:10 AM,01 Tháng Bảy 2020,1,30.335,3.178,0.905,50,33.144,11.489
10:30:12 AM,01 Tháng Bảy 2020,1,31.459,2.712,0.921,50,33.144,11.489
10:30:14 AM,01 Tháng Bảy 2020,1,32.582,0.931,0.972,50,33.144,11.489
10:30:16 AM,01 Tháng Bảy 2020,1,33.144,1.027,0.97,50,33.144,11.489
10:30:18 AM,01 Tháng Bảy 2020,1,29.212,4.302,0.872,50,33.144,11.489
10:30:20 AM,01 Tháng Bảy 2020,1,25.28,6.263,0.801,50,33.144,11.489
10:30:22 AM,01 Tháng Bảy 2020,1,25.28,6.263,0.801,50,33.144,11.489
10:30:24 AM,01 Tháng Bảy 2020,1,28.088,4.111,0.872,50,33.144,11.489
10:30:26 AM,01 Tháng Bảy 2020,1,32.021,1.493,0.955,50,33.144,11.489
10:30:28 AM,01 Tháng Bảy 2020,1,27.527,4.673,0.855,50,33.144,11.489
10:30:30 AM,01 Tháng Bảy 2020,1,25.28,6.263,0.801,50,33.144,11.489
10:30:32 AM,01 Tháng Bảy 2020,1,20.224,8.69,0.699,50,33.144,11.489
10:30:34 AM,01 Tháng Bảy 2020,1,21.347,8.224,0.722,50,33.144,11.489
10:30:36 AM,01 Tháng Bảy 2020,1,25.28,5.606,0.818,50,33.144,11.489
10:30:38 AM,01 Tháng Bảy 2020,1,31.459,2.712,0.921,50,33.144,11.489
10:30:40 AM,01 Tháng Bảy 2020,1,33.144,1.027,0.97,50,33.144,11.489
10:30:42 AM,01 Tháng Bảy 2020,1,32.582,1.588,0.954,50,33.144,11.489
10:30:44 AM,01 Tháng Bảy 2020,1,33.144,1.027,0.97,50,33.144,11.489
10:30:46 AM,01 Tháng Bảy 2020,1,31.459,2.055,0.939,50,33.144,11.489
10:30:48 AM,01 Tháng Bảy 2020,1,28.65,4.207,0.872,50,33.144,11.489
